Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  133    2 0xfffffe000793c190 0x75f8     0x75f8     com.apple.iokit.IOMobileGraphicsFamily-DCP (343.0.0) 4174A45C-5B61-3BEC-B372-1AC01D3253E6 <132 130 129 62 40 36 35 28 20 9 8 7 6 5 3>
  134    1 0xfffffe00073c8c90 0xd13      0xd13      com.apple.driver.AppleDisplayManager (1.0) E2E64973-5940-3CE8-A9A3-BB81B9A90BF1 <133 130 43 36 28 9 8 7 6 5 3>
  135    0 0xfffffe0007554ad0 0x8060     0x8060     com.apple.driver.AppleMobileDispT604X-DCP (140.0) 76C6E078-0E52-3C4F-8B4E-A9DE5FD66F0B <134 133 130 129 62 43 40 37 36 35 28 9 7 6 5 3>
  136    0 0xfffffe00075ee210 0x383b     0x383b     com.apple.driver.AppleSPMI (1.0.1) 06566537-C759-3F08-AEC5-B3CECF6E8B49 <28 9 7 6 5 3>
  137    0 0xfffffe00075bb520 0x633e     0x633e     com.apple.driver.AppleProcessorTrace (1.0.0) 8B8D6351-5C52-3EEC-B2EE-D206CA9CDF78 <28 9 8 7 6 5 3>
  138    0 0xfffffe000760c000 0x45a0     0x45a0     com.apple.driver.AppleStockholmControl (1.0.0) 642D168A-7E6B-3767-9179-B171542DEB2A <58 28 9 8 7 6 5 3>
  139    1 0xfffffe0007718d30 0x613      0x613      com.apple.driver.AudioDMACLLTEscalationDetector-Stub (450.4) 0193C627-5A0E-349B-97A5-08FA82F62B31 <94 28 8 7 6 5 3>
  140    2 0xfffffe0007721c00 0x1a10     0x1a10     com.apple.driver.AudioDMAFamily (450.4) 66F23DDF-1D0A-3139-8054-1584CB02619C <8 7 6 5 3>
  141    4 0xfffffe0007761360 0x3bc6     0x3bc6     com.apple.driver.ExclavesAudioKext (240.34) 4E79D8BE-81B2-3522-9CD7-3C01CDCAFEB3 <9 8 7 6 5>
  142    1 0xfffffe0007aef7c0 0xfa7      0xfa7      com.apple.driver.AudioSharedDARTMapperProxy (240.34) E6F91352-49E0-3648-89EA-D929B09FA988 <141 94 28 9 8 7 6 5>
  143    1 0xfffffe00077535d0 0xb9d      0xb9d      com.apple.driver.DMAChannelProxy (450.4) 46A0386B-5C22-3430-A885-72F888C495E1 <142 141 94 28 9 8 7 6 5>
  144    0 0xfffffe0007719350 0x88af     0x88af     com.apple.driver.AudioDMAController-T604x (450.4) FAE5FD8F-7EEC-3125-9895-71C0EEA5D7E3 <143 140 139 94 28 8 7 6 5 3>
  145    0 0xfffffe000759b6f0 0x9be      0x9be      com.apple.driver.ApplePMPFirmware (1) 812D9ECB-8D3D-323D-B2BD-3B06C572BAAB <62 41 40 28 8 6 5>
